source,url,status,date
Academic Exchange Quarterly,http://www.rapidintellect.com/AEQweb/,200.0,"July 15, 2021"
Academic Research Reviews,http://academicreviews.us/Default.aspx,302.0,"July 15, 2021"
Academy of Contemporary Research Journal ,http://aocrj.org/,404.0,"July 15, 2021"
ACME Intellects,http://www.acmeintellects.org/,403.0,"July 15, 2021"
Acta  de Gerencia Ciencia,http://www.cagena.com/,,"July 15, 2021"
Acta Advances in Agricultural Sciences,http://www.aaasjournal.com/,400.0,"July 15, 2021"
Acta Kinesiologica,http://www.actakin.com/,200.0,"July 15, 2021"
Acta Medica International,http://www.tmu.ac.in/acta_publications.htm,303.0,"July 15, 2021"
Acta Scientiae et Intellectus,http://www.actaint.com/,200.0,"July 15, 2021"
Acta Velit,http://actavelit.com/,406.0,"July 15, 2021"
Advance Journals of Engineering Mathematics and Computer Sciences,http://ajemc.in/index.php/ajemc,301.0,"July 15, 2021"
Advance Research Journal of Multidisciplinary Discoveries,http://www.journalresearchijf.com/,200.0,"July 15, 2021"
The Advanced Science Journal,http://advancedscience.org/,301.0,"July 15, 2021"
Advances in Aerospace Science and Technology,http://www.scirp.org/journal/AAST,301.0,"July 15, 2021"
Advances in Biomedicine and Pharmacy,http://www.thescientificpub.com/,301.0,"July 15, 2021"
Advances in Forestry Letter,http://www.afl-journal.org/index.aspx,404.0,"July 15, 2021"
"Advances in Science, Technology and Engineering Systems Journal",http://www.astesj.com/,301.0,"July 15, 2021"
Afrasian Journal of Humanities and Social Sciences,http://www.aajhss.org/index.php/aajhss,302.0,"July 15, 2021"
"African Journal of Traditional, Complementary and Alternative Medicines",http://journals.sfu.ca/africanem/index.php/ajtcam/index,302.0,"July 15, 2021"
Aging,http://www.impactaging.com/index.html,301.0,"July 15, 2021"
Ahead International Journal of Recent Research Review,http://www.aijrrr.com/,200.0,"July 15, 2021"
Al Ameen Journal of Medical Sciences,http://ajms.alameenmedical.org/,200.0,"July 15, 2021"
Aloy Journal of Soft Computing and Applications,http://ajsca.org/,,"July 15, 2021"
American Based Research Journal,http://www.abrj.org/,406.0,"July 15, 2021"
American International Journal of Contemporary Research,http://aijcrnet.com/,200.0,"July 15, 2021"
American International Journal of Contemporary Scientific Research,http://www.americanij.com/,200.0,"July 15, 2021"
American Journal of Advanced Agricultural Research,http://www.esterdjipress.org/index.php/AJAAR,302.0,"July 15, 2021"
American Journal of Advanced Drug Delivery,http://ojadd.com/index.php/AJADD,302.0,"July 15, 2021"
American Journal of Advanced Scientific Research,http://www.esterdjipress.org/index.php/AJAAR,302.0,"July 15, 2021"
American Journal of Advances in Medical Science,http://www.arnaca.com/,302.0,"July 15, 2021"
American Journal of Biotechnology and Medical Research,http://my.ejmanager.com/ajbmr/,302.0,"July 15, 2021"
American Journal of Engineering Research,http://www.ajer.org/,200.0,"July 15, 2021"
American Journal of Essential Oils and Natural Products,http://essencejournal.com/index.html,301.0,"July 15, 2021"
American Journal of Innovative Research and Applied Sciences,http://american-jiras.com/,200.0,"July 15, 2021"
American Journal of Pharmacy and Health Research,http://www.ajphr.com/,200.0,"July 15, 2021"
